country,country_code,year,region,population,gdp_per_capita,health_expenditure_per_capita,child_mortality_rate
Cape Verde,CPV,2019,Africa,514116.0,9111.63,416.9149,1.4112571
Central African Republic,CAF,2019,Africa,4944708.0,1145.0956,78.39879,25.46916
Chad,TCD,2019,Africa,16685223.0,2604.5315,79.596794,11.39786
Chile,CHL,2019,South America,19197748.0,28227.979,2384.3738,0.70040965
China,CHN,2019,Asia,1423520357.0,18820.588,917.2216,0.8032591
Colombia,COL,2019,South America,49907987.0,17336.771,1267.6736,1.354837
Comoros,COM,2019,Africa,786582.0,3522.6687,170.59496,4.483985
Congo,COG,2019,Africa,5616656.0,6939.369,134.27977,5.2244883
Costa Rica,CRI,2019,North America,4999549.0,23496.83,1685.4113,0.91154045
Cote d'Ivoire,CIV,2019,Africa,28193014.0,5894.9224,175.92726,7.5299654
Croatia,HRV,2019,Europe,3986338.0,35122.797,2223.274,0.47237965
Cyprus,CYP,2019,Europe,1286669.0,45454.176,3128.2317,0.2973449
Czechia,CZE,2019,Europe,10554872.0,47763.617,3422.4473,0.30162317
Democratic Republic of Congo,COD,2019,Africa,92947450.0,1394.7646,40.25181,9.2232485
Denmark,DNK,2019,Europe,5814618.0,66758.63,6171.199,0.3779718
Djibouti,DJI,2019,Africa,1088710.0,5809.3047,130.27962,5.749322
Dominica,DMA,2019,North America,67901.0,17619.434,785.97345,3.296129
Dominican Republic,DOM,2019,North America,10894043.0,21451.287,863.4297,3.4352808
East Timor,TLS,2019,Asia,1300946.0,5103.1494,227.52518,5.476304
Ecuador,ECU,2019,South America,17340017.0,13870.489,979.4586,1.3804681
Egypt,EGY,2019,Africa,107553159.0,15026.568,614.66046,2.4815817
El Salvador,SLV,2019,North America,6222316.0,10543.938,859.41534,1.2208656
Equatorial Guinea,GNQ,2019,Africa,1670184.0,18446.592,539.52057,8.066555
Estonia,EST,2019,Europe,1326822.0,42215.035,2702.2666,0.25381467
Eswatini,SWZ,2019,Africa,1179885.0,10099.586,756.4076,5.149067
Ethiopia,ETH,2019,Africa,115737384.0,2437.9705,72.71959,5.359482
Fiji,FJI,2019,Oceania,914906.0,13056.331,566.103,2.5731912
Finland,FIN,2019,Europe,5521754.0,56922.49,4821.267,0.2369691
France,FRA,2019,Europe,65729460.0,53448.555,5719.345,0.4237606
Gabon,GAB,2019,Africa,2267711.0,19491.406,441.54517,3.8461828
Gambia,GMB,2019,Africa,2456847.0,2750.8213,76.17185,5.038891
Georgia,GEO,2019,Asia,3796722.0,18186.88,1201.6552,0.9574387
Germany,DEU,2019,Europe,83559184.0,62949.895,6779.508,0.3745677
Ghana,GHA,2019,Africa,31258943.0,6508.2466,195.35313,4.4082484
Greece,GRC,2019,Europe,10718581.0,33502.75,2590.8467,0.41478392
Grenada,GRD,2019,North America,115995.0,17036.916,811.00024,1.8515474
Guatemala,GTM,2019,North America,17103803.0,11466.377,664.11444,2.428843
